open,close,side,entry,exit,sl,tp,r,pnl,tags
2025-05-01 19:00:00+00:00,2025-05-05 02:00:00+00:00,LONG,96576.0,95696.79975965375,95696.79975965375,98334.40048069251,-1.0,-879.2002403462538,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-05 18:00:00+00:00,2025-05-05 20:00:00+00:00,LONG,94747.0,94017.27418090744,94017.27418090744,96206.45163818513,-1.0,-729.725819092564,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-05 21:00:00+00:00,2025-05-06 14:00:00+00:00,LONG,94703.5,93941.93278988835,93941.93278988835,96226.6344202233,-1.0,-761.5672101116506,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-06 15:00:00+00:00,2025-05-06 22:00:00+00:00,LONG,94547.5,96008.60380319445,93816.94809840278,96008.60380319445,2.0,1461.1038031944481,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-07 21:00:00+00:00,2025-05-08 03:00:00+00:00,LONG,97162.0,98908.93825997511,96288.53087001244,98908.93825997511,2.0,1746.9382599751116,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-09 17:00:00+00:00,2025-05-12 07:00:00+00:00,LONG,103230.0,105664.77073682492,102012.61463158754,105664.77073682492,2.0,2434.770736824925,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-13 09:00:00+00:00,2025-05-15 05:00:00+00:00,LONG,103500.0,102418.4968262066,102418.4968262066,105663.00634758681,-1.0,-1081.5031737934041,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-15 15:00:00+00:00,2025-05-18 17:00:00+00:00,LONG,103306.5,105422.39089318478,102248.55455340761,105422.39089318478,2.0,2115.8908931847836,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-19 14:00:00+00:00,2025-05-20 02:00:00+00:00,LONG,104382.5,106906.1755763655,103120.66221181725,106906.1755763655,2.0,2523.6755763654946,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-20 17:00:00+00:00,2025-05-21 14:00:00+00:00,LONG,106266.0,108442.39546275148,105177.80226862426,108442.39546275148,2.0,2176.395462751476,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-21 19:00:00+00:00,2025-05-23 23:00:00+00:00,LONG,108723.0,106914.39175985972,106914.39175985972,112340.21648028056,-1.0,-1808.6082401402819,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-24 10:00:00+00:00,2025-05-24 23:00:00+00:00,LONG,109105.0,107982.65771917997,107982.65771917997,111349.68456164005,-1.0,-1122.3422808200266,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-25 23:00:00+00:00,2025-05-27 01:00:00+00:00,LONG,109078.5,108078.9631448036,108078.9631448036,111077.57371039281,-1.0,-999.5368551964057,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-27 07:00:00+00:00,2025-05-28 02:00:00+00:00,LONG,109599.5,108580.81128407374,108580.81128407374,111636.87743185251,-1.0,-1018.6887159262551,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-06 17:00:00+00:00,2025-06-07 00:00:00+00:00,LONG,105007.5,104064.62968687297,104064.62968687297,106893.24062625406,-1.0,-942.8703131270304,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-10 09:00:00+00:00,2025-06-10 14:00:00+00:00,LONG,109600.0,108828.19328508303,108828.19328508303,111143.61342983393,-1.0,-771.8067149169656,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
